nohup: ignoring input
sync 3030 blocks, loaded 75.0%, ftell 27193621552, speed 11.0s/block
sync 3040 blocks, loaded 75.0%, ftell 27288581127, speed 11.0s/block
sync 3050 blocks, loaded 75.0%, ftell 27377766475, speed 11.0s/block
sync 3060 blocks, loaded 75.0%, ftell 27468266839, speed 11.0s/block
sync 3070 blocks, loaded 76.0%, ftell 27557799921, speed 11.0s/block
sync 3080 blocks, loaded 76.0%, ftell 27652398218, speed 11.0s/block
sync 3090 blocks, loaded 76.0%, ftell 27742911210, speed 11.0s/block
sync 3100 blocks, loaded 76.0%, ftell 27833078506, speed 11.0s/block
sync 3110 blocks, loaded 77.0%, ftell 27928467027, speed 11.0s/block
sync 3120 blocks, loaded 77.0%, ftell 28017902872, speed 11.0s/block
sync 3130 blocks, loaded 77.0%, ftell 28108378654, speed 11.0s/block
sync 3140 blocks, loaded 78.0%, ftell 28198201938, speed 11.0s/block
sync 3150 blocks, loaded 78.0%, ftell 28292939699, speed 11.0s/block
sync 3160 blocks, loaded 78.0%, ftell 28383193988, speed 11.0s/block
sync 3170 blocks, loaded 78.0%, ftell 28473861522, speed 11.0s/block
sync 3180 blocks, loaded 79.0%, ftell 28569029117, speed 11.0s/block
sync 3190 blocks, loaded 79.0%, ftell 28658075073, speed 11.0s/block
sync 3200 blocks, loaded 79.0%, ftell 28748310756, speed 11.0s/block
sync 3210 blocks, loaded 79.0%, ftell 28838390471, speed 11.0s/block
sync 3220 blocks, loaded 80.0%, ftell 28932495412, speed 11.0s/block
sync 3230 blocks, loaded 80.0%, ftell 29022274810, speed 11.0s/block
sync 3240 blocks, loaded 80.0%, ftell 29112930316, speed 11.0s/block
sync 3250 blocks, loaded 80.0%, ftell 29207745570, speed 11.0s/block
sync 3260 blocks, loaded 81.0%, ftell 29296762930, speed 11.0s/block
sync 3270 blocks, loaded 81.0%, ftell 29386866704, speed 11.0s/block
sync 3280 blocks, loaded 81.0%, ftell 29476489585, speed 11.0s/block
sync 3290 blocks, loaded 81.0%, ftell 29570949257, speed 11.0s/block
